_id,Month,In_Out,Australian_City,International_City,Airline,Route,Port_Country,Port_Region,Service_Country,Service_Region,Stops,All_Flights,Max_Seats,Year,Month_num,AUS_Population,AUS_State
94942,Jan-19,I,Adelaide,Auckland,Air New Zealand,AKL-ADL,New Zealand,New Zealand,New Zealand,New Zealand,0,22,6864,2019,1,1379280,South Australia (SA)
94943,Jan-19,I,Adelaide,Denpasar,Jetstar,DPS-ADL,Indonesia,SE Asia,Indonesia,SE Asia,0,31,5718,2019,1,1379280,South Australia (SA)
94944,Jan-19,I,Adelaide,Doha,Qatar Airways,DOH-ADL,Qatar,Middle East,Qatar,Middle East,0,31,8773,2019,1,1379280,South Australia (SA)
94945,Jan-19,I,Adelaide,Dubai,Emirates,DXB-ADL,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,31,11032,2019,1,1379280,South Australia (SA)
94946,Jan-19,I,Adelaide,Guangzhou,China Southern Airlines,CAN-ADL,China,NE Asia,China,NE Asia,0,25,7050,2019,1,1379280,South Australia (SA)
94947,Jan-19,I,Adelaide,Hong Kong,Cathay Pacific Airways,HKG-ADL,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,27,6777,2019,1,1379280,South Australia (SA)
94948,Jan-19,I,Adelaide,Kuala Lumpur,Malaysia Airlines,KUL-ADL,Malaysia,SE Asia,Malaysia,SE Asia,0,22,6380,2019,1,1379280,South Australia (SA)
94949,Jan-19,I,Adelaide,Nadi,Fiji Airways,NAN-ADL,Fiji,Islands,Fiji,Islands,0,8,1312,2019,1,1379280,South Australia (SA)
94950,Jan-19,I,Adelaide,Singapore,Singapore Airlines,SIN-ADL,Singapore,SE Asia,Singapore,SE Asia,0,40,11958,2019,1,1379280,South Australia (SA)
94951,Jan-19,I,Brisbane,Abu Dhabi,Etihad Airways,AUH-BNE,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,31,9269,2019,1,2536449,Queensland (QLD)
94952,Jan-19,I,Brisbane,Apia,Virgin Australia,APW-BNE,Western Samoa,Islands,Western Samoa,Islands,0,7,1232,2019,1,2536449,Queensland (QLD)
94953,Jan-19,I,Brisbane,Apia,Samoa Airways,APW-BNE,Western Samoa,Islands,Western Samoa,Islands,0,7,1190,2019,1,2536449,Queensland (QLD)
94954,Jan-19,I,Brisbane,Auckland,Virgin Australia,AKL-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,68,11968,2019,1,2536449,Queensland (QLD)
94955,Jan-19,I,Brisbane,Auckland,Qantas Airways,AKL-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,66,14402,2019,1,2536449,Queensland (QLD)
94956,Jan-19,I,Brisbane,Auckland,Air New Zealand,AKL-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,78,19483,2019,1,2536449,Queensland (QLD)
94957,Jan-19,I,Brisbane,Auckland,China Airlines,AKL-BNE-TPE,New Zealand,New Zealand,New Zealand,New Zealand,0,31,11098,2019,1,2536449,Queensland (QLD)
94958,Jan-19,I,Brisbane,Bangkok,Thai Airways International,BKK-BNE,Thailand,SE Asia,Thailand,SE Asia,0,17,4964,2019,1,2536449,Queensland (QLD)
94959,Jan-19,I,Brisbane,Beijing,Air China,BJS-BNE,China,NE Asia,China,NE Asia,0,8,1924,2019,1,2536449,Queensland (QLD)
94960,Jan-19,I,Brisbane,Christchurch,Virgin Australia,CHC-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,33,5808,2019,1,2536449,Queensland (QLD)
94961,Jan-19,I,Brisbane,Christchurch,Qantas Airways,CHC-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,30,5220,2019,1,2536449,Queensland (QLD)
94962,Jan-19,I,Brisbane,Christchurch,Air New Zealand,CHC-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,44,7234,2019,1,2536449,Queensland (QLD)
94963,Jan-19,I,Brisbane,Denpasar,Virgin Australia,DPS-BNE,Indonesia,SE Asia,Indonesia,SE Asia,0,43,7568,2019,1,2536449,Queensland (QLD)
94964,Jan-19,I,Brisbane,Denpasar,Jetstar,DPS-BNE,Indonesia,SE Asia,Indonesia,SE Asia,0,31,10385,2019,1,2536449,Queensland (QLD)
94965,Jan-19,I,Brisbane,Denpasar,Malindo Air,KUL-DPS-BNE,Indonesia,SE Asia,Malaysia,SE Asia,0,31,5022,2019,1,2536449,Queensland (QLD)
94966,Jan-19,I,Brisbane,Dubai,Emirates,DXB-BNE,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,62,26135,2019,1,2536449,Queensland (QLD)
94967,Jan-19,I,Brisbane,Dubai,Emirates,DXB-SIN-BNE,United Arab Emirates,Middle East,United Arab Emirates,Middle East,1,31,10976,2019,1,2536449,Queensland (QLD)
94968,Jan-19,I,Brisbane,Dunedin,Virgin Australia,DUD-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,15,2640,2019,1,2536449,Queensland (QLD)
94969,Jan-19,I,Brisbane,Espiritu Santo,Air Vanuatu,SON-BNE,Vanuatu,Islands,Vanuatu,Islands,0,4,680,2019,1,2536449,Queensland (QLD)
94970,Jan-19,I,Brisbane,Espiritu Santo,Air Vanuatu,VLI-SON-BNE,Vanuatu,Islands,Vanuatu,Islands,0,4,680,2019,1,2536449,Queensland (QLD)
94971,Jan-19,I,Brisbane,Guangzhou,China Southern Airlines,CAN-BNE,China,NE Asia,China,NE Asia,0,31,8835,2019,1,2536449,Queensland (QLD)
94972,Jan-19,I,Brisbane,Hong Kong,Cathay Pacific Airways,HKG-BNE,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,48,12947,2019,1,2536449,Queensland (QLD)
94973,Jan-19,I,Brisbane,Hong Kong,Qantas Airways,HKG-BNE,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,31,8363,2019,1,2536449,Queensland (QLD)
