_id,Month,In_Out,Australian_City,International_City,Airline,Route,Port_Country,Port_Region,Service_Country,Service_Region,Stops,All_Flights,Max_Seats,Year,Month_num,AUS_Population,AUS_State
94974,Jan-19,I,Brisbane,Honiara,Virgin Australia,HIR-BNE,Solomon Islands,Islands,Solomon Islands,Islands,0,10,1760,2019,1,2536449,Queensland (QLD)
94975,Jan-19,I,Brisbane,Honiara,Solomon Airlines,HIR-BNE,Solomon Islands,Islands,Solomon Islands,Islands,0,21,2856,2019,1,2536449,Queensland (QLD)
94976,Jan-19,I,Brisbane,Honolulu,Hawaiian Airlines,HNL-BNE,USA,N America,USA,N America,0,15,4155,2019,1,2536449,Queensland (QLD)
94977,Jan-19,I,Brisbane,Honolulu,Qantas Airways,HNL-BNE-SYD,USA,N America,USA,N America,0,1,364,2019,1,2536449,Queensland (QLD)
94978,Jan-19,I,Brisbane,Kuala Lumpur,Malaysia Airlines,KUL-BNE,Malaysia,SE Asia,Malaysia,SE Asia,0,18,5220,2019,1,2536449,Queensland (QLD)
94979,Jan-19,I,Brisbane,Kuala Lumpur,Malindo Air,KUL-DPS-BNE,Malaysia,SE Asia,Malaysia,SE Asia,1,31,5022,2019,1,2536449,Queensland (QLD)
94980,Jan-19,I,Brisbane,Los Angeles,Virgin Australia,LAX-BNE,USA,N America,USA,N America,0,27,9153,2019,1,2536449,Queensland (QLD)
94981,Jan-19,I,Brisbane,Los Angeles,Qantas Airways,LAX-BNE,USA,N America,USA,N America,0,47,11088,2019,1,2536449,Queensland (QLD)
94982,Jan-19,I,Brisbane,Manila,Philippine Airlines,MNL-BNE,Philippines,SE Asia,Philippines,SE Asia,0,22,3696,2019,1,2536449,Queensland (QLD)
94983,Jan-19,I,Brisbane,Nadi,Virgin Australia,NAN-BNE,Fiji,Islands,Fiji,Islands,0,34,6281,2019,1,2536449,Queensland (QLD)
94984,Jan-19,I,Brisbane,Nadi,Fiji Airways,NAN-BNE,Fiji,Islands,Fiji,Islands,0,32,5518,2019,1,2536449,Queensland (QLD)
94985,Jan-19,I,Brisbane,Nauru,Nauru Airlines,INU-BNE,Nauru,Islands,Nauru,Islands,0,16,2048,2019,1,2536449,Queensland (QLD)
94986,Jan-19,I,Brisbane,Noumea,Qantas Airways,NOU-BNE,New Caledonia,Islands,New Caledonia,Islands,0,4,700,2019,1,2536449,Queensland (QLD)
94987,Jan-19,I,Brisbane,Noumea,Air Caledonie,NOU-BNE,New Caledonia,Islands,New Caledonia,Islands,0,18,2892,2019,1,2536449,Queensland (QLD)
94988,Jan-19,I,Brisbane,Port Moresby,Virgin Australia,POM-BNE,Papua New Guinea,Islands,Papua New Guinea,Islands,0,22,3872,2019,1,2536449,Queensland (QLD)
94989,Jan-19,I,Brisbane,Port Moresby,Air Niugini,POM-BNE,Papua New Guinea,Islands,Papua New Guinea,Islands,0,31,6370,2019,1,2536449,Queensland (QLD)
94990,Jan-19,I,Brisbane,Port Moresby,Qantas Airways,POM-BNE,Papua New Guinea,Islands,Papua New Guinea,Islands,0,27,4590,2019,1,2536449,Queensland (QLD)
94991,Jan-19,I,Brisbane,Port Vila,Virgin Australia,VLI-BNE,Vanuatu,Islands,Vanuatu,Islands,0,18,3168,2019,1,2536449,Queensland (QLD)
94992,Jan-19,I,Brisbane,Port Vila,Air Vanuatu,VLI-BNE,Vanuatu,Islands,Vanuatu,Islands,0,8,1360,2019,1,2536449,Queensland (QLD)
94993,Jan-19,I,Brisbane,Port Vila,Air Vanuatu,VLI-SON-BNE,Vanuatu,Islands,Vanuatu,Islands,1,4,680,2019,1,2536449,Queensland (QLD)
94994,Jan-19,I,Brisbane,Queenstown,Virgin Australia,ZQN-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,23,4048,2019,1,2536449,Queensland (QLD)
94995,Jan-19,I,Brisbane,Queenstown,Qantas Airways,ZQN-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,1,174,2019,1,2536449,Queensland (QLD)
94996,Jan-19,I,Brisbane,Queenstown,Air New Zealand,ZQN-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,18,2954,2019,1,2536449,Queensland (QLD)
94997,Jan-19,I,Brisbane,Seoul,Korean Air,SEL-BNE,Korea,NE Asia,Korea,NE Asia,0,31,8339,2019,1,2536449,Queensland (QLD)
94998,Jan-19,I,Brisbane,Shanghai,China Eastern Airlines,SHA-BNE,China,NE Asia,China,NE Asia,0,31,7190,2019,1,2536449,Queensland (QLD)
94999,Jan-19,I,Brisbane,Shenzhen,Hainan Airlines,SZX-BNE,China,NE Asia,China,NE Asia,0,8,1712,2019,1,2536449,Queensland (QLD)
95000,Jan-19,I,Brisbane,Singapore,Emirates,DXB-SIN-BNE,Singapore,SE Asia,United Arab Emirates,Middle East,0,31,10976,2019,1,2536449,Queensland (QLD)
95001,Jan-19,I,Brisbane,Singapore,Qantas Airways,SIN-BNE,Singapore,SE Asia,Singapore,SE Asia,0,31,8969,2019,1,2536449,Queensland (QLD)
95002,Jan-19,I,Brisbane,Singapore,Singapore Airlines,SIN-BNE,Singapore,SE Asia,Singapore,SE Asia,0,124,33264,2019,1,2536449,Queensland (QLD)
95003,Jan-19,I,Brisbane,Taipei,Eva Air,TPE-BNE,Taiwan,NE Asia,Taiwan,NE Asia,0,23,7107,2019,1,2536449,Queensland (QLD)
95004,Jan-19,I,Brisbane,Taipei,China Airlines,TPE-BNE-AKL,Taiwan,NE Asia,Taiwan,NE Asia,0,31,11098,2019,1,2536449,Queensland (QLD)
95005,Jan-19,I,Brisbane,Tokyo,Qantas Airways,TYO-BNE,Japan,NE Asia,Japan,NE Asia,0,31,9206,2019,1,2536449,Queensland (QLD)
95006,Jan-19,I,Brisbane,Vancouver,Air Canada,YVR-BNE,Canada,N America,Canada,N America,0,31,8035,2019,1,2536449,Queensland (QLD)
95007,Jan-19,I,Brisbane,Wellington,Virgin Australia,WLG-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,39,6864,2019,1,2536449,Queensland (QLD)
95008,Jan-19,I,Brisbane,Wellington,Air New Zealand,WLG-BNE,New Zealand,New Zealand,New Zealand,New Zealand,0,22,3616,2019,1,2536449,Queensland (QLD)
95009,Jan-19,I,Cairns,Denpasar,Jetstar,DPS-CNS,Indonesia,SE Asia,Indonesia,SE Asia,0,18,3276,2019,1,158178,Queensland (QLD)
95010,Jan-19,I,Cairns,Guangzhou,China Southern Airlines,CAN-CNS,China,NE Asia,China,NE Asia,0,17,4862,2019,1,158178,Queensland (QLD)
95011,Jan-19,I,Cairns,Hong Kong,Cathay Pacific Airways,HKG-CNS,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,13,3263,2019,1,158178,Queensland (QLD)
95012,Jan-19,I,Cairns,Osaka,Jetstar,OSA-CNS,Japan,NE Asia,Japan,NE Asia,0,25,8375,2019,1,158178,Queensland (QLD)
95013,Jan-19,I,Cairns,Port Moresby,Air Niugini,POM-CNS,Papua New Guinea,Islands,Papua New Guinea,Islands,0,39,4347,2019,1,158178,Queensland (QLD)
95014,Jan-19,I,Cairns,Shanghai,China Eastern Airlines,SHA-CNS,China,NE Asia,China,NE Asia,0,13,2994,2019,1,158178,Queensland (QLD)
95015,Jan-19,I,Cairns,Shenzhen,Hainan Airlines,SZX-CNS,China,NE Asia,China,NE Asia,0,9,1926,2019,1,158178,Queensland (QLD)
95016,Jan-19,I,Cairns,Singapore,Silk Air,SIN-CNS,Singapore,SE Asia,Singapore,SE Asia,0,22,3468,2019,1,158178,Queensland (QLD)
95017,Jan-19,I,Cairns,Tokyo,Jetstar,TYO-CNS,Japan,NE Asia,Japan,NE Asia,0,25,8375,2019,1,158178,Queensland (QLD)
95018,Jan-19,I,Cairns,Tokyo,Jetstar,TYO-CNS-MEL,Japan,NE Asia,Japan,NE Asia,0,5,1675,2019,1,158178,Queensland (QLD)
95019,Jan-19,I,Canberra,Doha,Qatar Airways,DOH-SYD-CBR,Qatar,Middle East,Qatar,Middle East,1,31,10974,2019,1,477567,Australian Capital Territory (ACT)
95020,Jan-19,I,Canberra,Singapore,Singapore Airlines,SIN-SYD-CBR,Singapore,SE Asia,Singapore,SE Asia,1,31,8184,2019,1,477567,Australian Capital Territory (ACT)
95021,Jan-19,I,Darwin,Denpasar,Jetstar,DPS-DRW,Indonesia,SE Asia,Indonesia,SE Asia,0,31,5694,2019,1,135982,Northern Territory (NT)
95022,Jan-19,I,Darwin,Shenzhen,Donghai Airlines,SZX-DRW,China,NE Asia,China,NE Asia,0,9,972,2019,1,135982,Northern Territory (NT)
95023,Jan-19,I,Darwin,Singapore,Jetstar Asia,SIN-DRW,Singapore,SE Asia,Singapore,SE Asia,0,23,4140,2019,1,135982,Northern Territory (NT)
95024,Jan-19,I,Darwin,Singapore,Silk Air,SIN-DRW,Singapore,SE Asia,Singapore,SE Asia,0,27,4224,2019,1,135982,Northern Territory (NT)
95025,Jan-19,I,Gold Coast,Auckland,Virgin Australia,AKL-OOL,New Zealand,New Zealand,New Zealand,New Zealand,0,31,5456,2019,1,742600,Queensland (QLD)
95026,Jan-19,I,Gold Coast,Auckland,Jetstar,AKL-OOL,New Zealand,New Zealand,New Zealand,New Zealand,0,33,6114,2019,1,742600,Queensland (QLD)
95027,Jan-19,I,Gold Coast,Auckland,Air New Zealand,AKL-OOL,New Zealand,New Zealand,New Zealand,New Zealand,0,25,5160,2019,1,742600,Queensland (QLD)
95028,Jan-19,I,Gold Coast,Auckland,AirAsia X,AKL-OOL-KUL,New Zealand,New Zealand,New Zealand,New Zealand,0,30,11310,2019,1,742600,Queensland (QLD)
95029,Jan-19,I,Gold Coast,Christchurch,Jetstar,CHC-OOL,New Zealand,New Zealand,New Zealand,New Zealand,0,14,2598,2019,1,742600,Queensland (QLD)
95030,Jan-19,I,Gold Coast,Christchurch,Air New Zealand,CHC-OOL,New Zealand,New Zealand,New Zealand,New Zealand,0,9,1477,2019,1,742600,Queensland (QLD)
95031,Jan-19,I,Gold Coast,Kuala Lumpur,AirAsia X,KUL-OOL,Malaysia,SE Asia,Malaysia,SE Asia,0,9,3393,2019,1,742600,Queensland (QLD)
95032,Jan-19,I,Gold Coast,Kuala Lumpur,AirAsia X,KUL-OOL-AKL,Malaysia,SE Asia,Malaysia,SE Asia,0,29,10933,2019,1,742600,Queensland (QLD)
95033,Jan-19,I,Gold Coast,Queenstown,Jetstar,ZQN-OOL,New Zealand,New Zealand,New Zealand,New Zealand,0,13,2418,2019,1,742600,Queensland (QLD)
95034,Jan-19,I,Gold Coast,Singapore,Scoot Tigerair,SIN-OOL,Singapore,SE Asia,Singapore,SE Asia,0,22,7780,2019,1,742600,Queensland (QLD)
95035,Jan-19,I,Gold Coast,Tokyo,Jetstar,TYO-OOL,Japan,NE Asia,Japan,NE Asia,0,23,7705,2019,1,742600,Queensland (QLD)
95036,Jan-19,I,Gold Coast,Tokyo,Jetstar,TYO-OOL-MEL,Japan,NE Asia,Japan,NE Asia,0,4,1340,2019,1,742600,Queensland (QLD)
95037,Jan-19,I,Gold Coast,Wellington,Jetstar,WLG-OOL,New Zealand,New Zealand,New Zealand,New Zealand,0,18,3336,2019,1,742600,Queensland (QLD)
95038,Jan-19,I,Melbourne,Abu Dhabi,Etihad Airways,AUH-MEL,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,62,18527,2019,1,5315600,Victoria (VIC)
95039,Jan-19,I,Melbourne,Auckland,Virgin Australia,AKL-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,62,10912,2019,1,5315600,Victoria (VIC)
95040,Jan-19,I,Melbourne,Auckland,Jetstar,AKL-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,36,6654,2019,1,5315600,Victoria (VIC)
95041,Jan-19,I,Melbourne,Auckland,Qantas Airways,AKL-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,125,27364,2019,1,5315600,Victoria (VIC)
95042,Jan-19,I,Melbourne,Auckland,Air New Zealand,AKL-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,128,31194,2019,1,5315600,Victoria (VIC)
95043,Jan-19,I,Melbourne,Bandar Seri Begawan,Royal Brunei Airlines,BWN-MEL,Brunei,SE Asia,Brunei,SE Asia,0,31,7874,2019,1,5315600,Victoria (VIC)
95044,Jan-19,I,Melbourne,Bangkok,Jetstar,BKK-MEL,Thailand,SE Asia,Thailand,SE Asia,0,14,4690,2019,1,5315600,Victoria (VIC)
95045,Jan-19,I,Melbourne,Bangkok,Thai Airways International,BKK-MEL,Thailand,SE Asia,Thailand,SE Asia,0,49,15729,2019,1,5315600,Victoria (VIC)
95046,Jan-19,I,Melbourne,Beijing,Air China,BJS-MEL,China,NE Asia,China,NE Asia,0,31,9021,2019,1,5315600,Victoria (VIC)
95047,Jan-19,I,Melbourne,Changsha,Hainan Airlines,CSX-HAK-MEL,China,NE Asia,China,NE Asia,1,5,1359,2019,1,5315600,Victoria (VIC)
95048,Jan-19,I,Melbourne,Chengdu,Sichuan Airlines,CTU-MEL,China,NE Asia,China,NE Asia,0,13,3965,2019,1,5315600,Victoria (VIC)
95049,Jan-19,I,Melbourne,Chongqing,Tianjin Airlines,CKG-MEL,China,NE Asia,China,NE Asia,0,14,4130,2019,1,5315600,Victoria (VIC)
95050,Jan-19,I,Melbourne,Christchurch,Virgin Australia,CHC-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,31,5456,2019,1,5315600,Victoria (VIC)
95051,Jan-19,I,Melbourne,Christchurch,Jetstar,CHC-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,31,5730,2019,1,5315600,Victoria (VIC)
95052,Jan-19,I,Melbourne,Christchurch,Qantas Airways,CHC-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,31,5394,2019,1,5315600,Victoria (VIC)
95053,Jan-19,I,Melbourne,Christchurch,Air New Zealand,CHC-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,54,8884,2019,1,5315600,Victoria (VIC)
95054,Jan-19,I,Melbourne,Colombo,SriLankan Airlines,CMB-MEL,Sri Lanka,S Asia,Sri Lanka,S Asia,0,31,8990,2019,1,5315600,Victoria (VIC)
95055,Jan-19,I,Melbourne,Denpasar,Garuda Indonesia,DPS-MEL,Indonesia,SE Asia,Indonesia,SE Asia,0,35,9310,2019,1,5315600,Victoria (VIC)
95056,Jan-19,I,Melbourne,Denpasar,Jetstar,DPS-MEL,Indonesia,SE Asia,Indonesia,SE Asia,0,56,18760,2019,1,5315600,Victoria (VIC)
95057,Jan-19,I,Melbourne,Denpasar,Qantas Airways,DPS-MEL,Indonesia,SE Asia,Indonesia,SE Asia,0,31,4929,2019,1,5315600,Victoria (VIC)
95058,Jan-19,I,Melbourne,Denpasar,Malindo Air,KUL-DPS-MEL,Indonesia,SE Asia,Malaysia,SE Asia,0,31,5022,2019,1,5315600,Victoria (VIC)
95059,Jan-19,I,Melbourne,Doha,Qatar Airways,DOH-MEL,Qatar,Middle East,Qatar,Middle East,0,31,16027,2019,1,5315600,Victoria (VIC)
95060,Jan-19,I,Melbourne,Dubai,Emirates,DXB-MEL,United Arab Emirates,Middle East,United Arab Emirates,Middle East,0,62,30468,2019,1,5315600,Victoria (VIC)
95061,Jan-19,I,Melbourne,Dubai,Emirates,DXB-SIN-MEL,United Arab Emirates,Middle East,United Arab Emirates,Middle East,1,31,13519,2019,1,5315600,Victoria (VIC)
95062,Jan-19,I,Melbourne,Guangzhou,China Southern Airlines,CAN-MEL,China,NE Asia,China,NE Asia,0,93,26226,2019,1,5315600,Victoria (VIC)
95063,Jan-19,I,Melbourne,Haikou,Hainan Airlines,CSX-HAK-MEL,China,NE Asia,China,NE Asia,0,5,1359,2019,1,5315600,Victoria (VIC)
95064,Jan-19,I,Melbourne,Haikou,Hainan Airlines,HAK-MEL,China,NE Asia,China,NE Asia,0,4,1212,2019,1,5315600,Victoria (VIC)
95065,Jan-19,I,Melbourne,Hangzhou,Xiamen Airlines,XMN-HGH-MEL,China,NE Asia,China,NE Asia,0,9,2115,2019,1,5315600,Victoria (VIC)
95066,Jan-19,I,Melbourne,Ho Chi Minh City,Jetstar,SGN-MEL,Vietnam,SE Asia,Vietnam,SE Asia,0,14,4690,2019,1,5315600,Victoria (VIC)
95067,Jan-19,I,Melbourne,Ho Chi Minh City,Vietnam Airlines,SGN-MEL,Vietnam,SE Asia,Vietnam,SE Asia,0,31,9455,2019,1,5315600,Victoria (VIC)
95068,Jan-19,I,Melbourne,Hong Kong,Cathay Pacific Airways,HKG-MEL,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,85,25480,2019,1,5315600,Victoria (VIC)
95069,Jan-19,I,Melbourne,Hong Kong,Virgin Australia,HKG-MEL,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,31,8525,2019,1,5315600,Victoria (VIC)
95070,Jan-19,I,Melbourne,Hong Kong,Qantas Airways,HKG-MEL,Hong Kong (SAR),NE Asia,Hong Kong (SAR),NE Asia,0,31,7846,2019,1,5315600,Victoria (VIC)
95071,Jan-19,I,Melbourne,Honolulu,Jetstar,HNL-MEL,USA,N America,USA,N America,0,13,4355,2019,1,5315600,Victoria (VIC)
95072,Jan-19,I,Melbourne,Jakarta,Garuda Indonesia,JKT-MEL,Indonesia,SE Asia,Indonesia,SE Asia,0,22,5471,2019,1,5315600,Victoria (VIC)
95073,Jan-19,I,Melbourne,Kuala Lumpur,AirAsia X,KUL-AVV,Malaysia,SE Asia,Malaysia,SE Asia,0,62,23374,2019,1,5315600,Victoria (VIC)
95074,Jan-19,I,Melbourne,Kuala Lumpur,Malindo Air,KUL-DPS-MEL,Malaysia,SE Asia,Malaysia,SE Asia,1,31,5022,2019,1,5315600,Victoria (VIC)
95075,Jan-19,I,Melbourne,Kuala Lumpur,Malaysia Airlines,KUL-MEL,Malaysia,SE Asia,Malaysia,SE Asia,0,62,17980,2019,1,5315600,Victoria (VIC)
95076,Jan-19,I,Melbourne,London,Qantas Airways,LON-PER-MEL,UK,Europe,UK,Europe,1,28,6523,2019,1,5315600,Victoria (VIC)
95077,Jan-19,I,Melbourne,Los Angeles,Virgin Australia,LAX-MEL,USA,N America,USA,N America,0,21,7119,2019,1,5315600,Victoria (VIC)
95078,Jan-19,I,Melbourne,Los Angeles,Qantas Airways,LAX-MEL,USA,N America,USA,N America,0,38,16627,2019,1,5315600,Victoria (VIC)
95079,Jan-19,I,Melbourne,Los Angeles,United Airlines,LAX-MEL,USA,N America,USA,N America,0,31,7812,2019,1,5315600,Victoria (VIC)
95080,Jan-19,I,Melbourne,Manila,Cebu Pacific Air,MNL-MEL,Philippines,SE Asia,Philippines,SE Asia,0,14,6104,2019,1,5315600,Victoria (VIC)
95081,Jan-19,I,Melbourne,Manila,Philippine Airlines,MNL-MEL,Philippines,SE Asia,Philippines,SE Asia,0,31,9313,2019,1,5315600,Victoria (VIC)
95082,Jan-19,I,Melbourne,Nadi,Virgin Australia,NAN-MEL,Fiji,Islands,Fiji,Islands,0,15,2640,2019,1,5315600,Victoria (VIC)
95083,Jan-19,I,Melbourne,Nadi,Fiji Airways,NAN-MEL,Fiji,Islands,Fiji,Islands,0,34,5866,2019,1,5315600,Victoria (VIC)
95084,Jan-19,I,Melbourne,New Delhi,Air India,DEL-MEL,India,S Asia,India,S Asia,0,13,3328,2019,1,5315600,Victoria (VIC)
95085,Jan-19,I,Melbourne,Noumea,Air Caledonie,NOU-MEL,New Caledonia,Islands,New Caledonia,Islands,0,13,1994,2019,1,5315600,Victoria (VIC)
95086,Jan-19,I,Melbourne,Phuket,Jetstar,HKT-MEL,Thailand,SE Asia,Thailand,SE Asia,0,18,6030,2019,1,5315600,Victoria (VIC)
95087,Jan-19,I,Melbourne,Qingdao,Beijing Capital Airlines,TAO-MEL,China,NE Asia,China,NE Asia,0,13,2886,2019,1,5315600,Victoria (VIC)
95088,Jan-19,I,Melbourne,Queenstown,Virgin Australia,ZQN-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,19,3344,2019,1,5315600,Victoria (VIC)
95089,Jan-19,I,Melbourne,Queenstown,Jetstar,ZQN-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,30,5502,2019,1,5315600,Victoria (VIC)
95090,Jan-19,I,Melbourne,Queenstown,Air New Zealand,ZQN-MEL,New Zealand,New Zealand,New Zealand,New Zealand,0,35,5747,2019,1,5315600,Victoria (VIC)
95091,Jan-19,I,Melbourne,San Francisco,Qantas Airways,SFO-MEL,USA,N America,USA,N America,0,17,4137,2019,1,5315600,Victoria (VIC)
95092,Jan-19,I,Melbourne,Santiago,LATAM Airlines,SCL-MEL,Chile,S America,Chile,S America,0,22,6543,2019,1,5315600,Victoria (VIC)
95093,Jan-19,I,Melbourne,Shanghai,Air China,SHA-MEL,China,NE Asia,China,NE Asia,0,18,4734,2019,1,5315600,Victoria (VIC)
95094,Jan-19,I,Melbourne,Shanghai,China Eastern Airlines,SHA-MEL,China,NE Asia,China,NE Asia,0,62,16988,2019,1,5315600,Victoria (VIC)
95095,Jan-19,I,Melbourne,Shenzhen,China Southern Airlines,SZX-MEL,China,NE Asia,China,NE Asia,0,13,3666,2019,1,5315600,Victoria (VIC)
95096,Jan-19,I,Melbourne,Singapore,Emirates,DXB-SIN-MEL,Singapore,SE Asia,United Arab Emirates,Middle East,0,31,13519,2019,1,5315600,Victoria (VIC)
95097,Jan-19,I,Melbourne,Singapore,Jetstar,SIN-MEL,Singapore,SE Asia,Singapore,SE Asia,0,6,2010,2019,1,5315600,Victoria (VIC)
95098,Jan-19,I,Melbourne,Singapore,Qantas Airways,SIN-MEL,Singapore,SE Asia,Singapore,SE Asia,0,62,24081,2019,1,5315600,Victoria (VIC)
95099,Jan-19,I,Melbourne,Singapore,Singapore Airlines,SIN-MEL,Singapore,SE Asia,Singapore,SE Asia,0,124,37882,2019,1,5315600,Victoria (VIC)
